ten_du_an, loi_nhuan, chi_phi
Ứng dụng chatbot AI,537000000,324000000
Mở rộng kho lạnh quốc tế,659000000,264000000
Mở chi nhánh Huế,601000000,357000000
Tối ưu logistics toàn quốc,675000000,393000000
Đào tạo lãnh đạo cấp cao,571000000,352000000
Mua phần mềm ERP mới,702000000,362000000
Mua đội xe tải mới,588000000,292000000
Mở chi nhánh Hải Phòng,475000000,214000000
R&D sản phẩm xanh,774000000,378000000
Đầu tư trung tâm dữ liệu lớn,639000000,242000000
Nghiên cứu thị trường Mỹ,430000000,265000000
Nâng cấp bảo mật hệ thống,615000000,385000000
Tối ưu chuỗi cung ứng,581000000,349000000
Nâng cấp hệ thống tài chính,581000000,264000000
Mở showroom flagship,597000000,324000000
Tự động hóa sản xuất,536000000,307000000
Cải tạo văn phòng lớn,514000000,253000000
Lắp điện mặt trời toàn hệ thống,483000000,263000000
Mở chi nhánh Nha Trang,539000000,385000000
Đầu tư robot AI,655000000,309000000
