ten_du_an, loi_nhuan, chi_phi
Mở rộng kho Hà Nội,420000000,210000000
Nâng cấp hệ thống CRM,300000000,140000000
Chiến dịch Marketing Tết,200000000,80000000
Đầu tư trung tâm dữ liệu,650000000,320000000
Đào tạo quản lý cấp trung,90000000,45000000
Mở chi nhánh Cần Thơ,500000000,240000000
Nghiên cứu sản phẩm mới,720000000,360000000
Tối ưu vận chuyển nội bộ,260000000,130000000
Nâng cấp an ninh mạng,200000000,100000000
Mua xe giao hàng,350000000,200000000
Cải tạo văn phòng TP.HCM,150000000,80000000
Điện mặt trời nhà máy,450000000,230000000
Mở rộng kho lạnh,380000000,190000000
Ứng dụng AI chăm sóc khách hàng,500000000,250000000
Nâng cấp website thương mại điện tử,280000000,130000000
Tự động hóa dây chuyền sản xuất,800000000,400000000
Đào tạo kỹ năng bán hàng,120000000,60000000
Mở showroom sản phẩm,320000000,160000000
Nghiên cứu thị trường quốc tế,270000000,120000000
Tối ưu hóa tồn kho,230000000,110000000
Nâng cấp hệ thống kế toán,210000000,100000000
Mua phần mềm quản lý nhân sự,180000000,90000000
Chiến dịch quảng cáo online,220000000,100000000
Mở rộng nhà xưởng,600000000,300000000
Đầu tư robot tự động,750000000,370000000
Đào tạo kỹ thuật viên,130000000,60000000
Nâng cấp hệ thống vận hành,260000000,120000000
Phát triển ứng dụng mobile,400000000,200000000
Cải thiện trải nghiệm khách hàng,240000000,110000000
Mở trung tâm bảo hành,300000000,150000000
